title,year,domestic_gross,foreign_gross
legend,2015,1872994,40552456
legend,2015,1872994,40552456
jane got a gun,2016,1513793,2257552
love ranch,2010,137885,8264
ironclad,2011,0,5297411
think like a man too,2014,65028687,4999246
fences,2016,57682904,6599977
fences,2016,57682904,6599977
footloose,2011,51802742,11187092
going in style,2017,45018541,33654038
piranha 3d,2010,25003155,58657005
faster,2010,23240020,12552925
i dont know how she does it,2011,9659074,14815389
green book,2018,85080171,236954268
the wedding ringer,2015,64460211,15711385
the ides of march,2011,40962534,36773391
the hate u give,2018,29719483,5348182
eddie the eagle,2016,15789389,29271091
redemption,2013,36686,13556787
redemption,2013,36686,13556787
nocturnal animals,2016,10663357,21735324
nocturnal animals,2016,10663357,21735324
the water diviner,2015,4200117,26854610
son of god,2014,59700064,11249729
the hundredfoot journey,2014,54235441,40035047
diary of a wimpy kid dog days,2012,49008662,28221033
delivery man,2013,30659817,39877053
hail caesar,2016,30080225,34080455
diary of a wimpy kid the long haul,2017,20738724,14870853
homefront,2013,20158492,31536870
the transporter refueled,2015,16029670,53668825
hit  run,2012,13749300,3467655
roman j israel esq,2017,11962712,1004300
roman j israel esq,2017,11962712,1004300
out of the furnace,2013,11330849,4103526
just getting started,2017,6069605,686807
just getting started,2017,6069605,686807
before i go to sleep,2014,3242457,16321122
stone,2010,1810078,2254942
to rome with love,2012,16684352,57641663
silver linings playbook,2012,132092958,104319495
blockers,2018,60311495,33733833
death at a funeral,2010,42739347,6237886
for colored girls,2010,37729698,288175
kidnap,2017,30718107,4117973
tinker tailor soldier spy,2011,24149393,57303418
the beaver,2011,970816,4075222
bitter harvest,2017,557241,48921
la la land,2016,151101803,275249360
la la land,2016,151101803,275249360
the conjuring,2013,137400141,180600000
wonder,2017,132422809,172181903
wonder,2017,132422809,172181903
jackass 3d,2010,117229692,54456101
bad moms,2016,113257297,67741419
tammy,2014,84525432,11882223
the descendants,2011,82624961,92882839
the last song,2010,62950384,29728564
why did i get married too,2010,60095852,735215
12 years a slave,2013,56671993,124353350
me before you,2016,56245075,152020123
barbershop the next cut,2016,54030051,374151
a simple favor,2018,53548586,44080131
spotlight,2015,45055776,47032684
spotlight,2015,45055776,47032684
acrimony,2018,43549096,3078740
max,2015,42656255,1001902
the star,2017,40847995,21910015
nerve,2016,38583626,32068658
risen,2016,36880033,9375730
vampires suck,2010,36661504,44763484
the american,2010,35606376,32344347
texas chainsaw 3d,2013,34341945,13324068
shes out of my league,2010,32010860,16670117
the debt,2011,31177548,15426506
the worlds end,2013,26004851,21503654
you again,2010,25702053,7136892
on the basis of sex,2018,24622687,13450690
endless love,2014,23438250,11279923
monte carlo,2011,23186769,16500000
rough night,2017,22105643,24738714
secret in their eyes,2015,20180155,12427864
secret in their eyes,2015,20180155,12427864
silent hill revelation 3d,2012,17530219,38445453
flatliners,2017,16883115,28290623
lockout,2012,14326865,19616184
whats your number,2011,14011084,16152701
burnt,2015,13651946,23121564
burnt,2015,13651946,23121564
triple 9,2016,12639297,13304495
the light between oceans,2016,12545979,9735753
let me in,2010,12134935,16135464
popstar never stop never stopping,2016,9496130,40990
thank you for your service,2017,9479390,505926
battle of the year,2013,8888355,7835022
machete kills,2013,8008161,10264848
little boy,2015,6485961,11283338
chasing mavericks,2012,6002756,2298065
a most violent year,2014,5749134,3097741
a most violent year,2014,5749134,3097741
a dangerous method,2011,5702083,9105448
hands of stone,2016,4712792,319183
the cold light of day,2012,3763583,21597623
suspiria,2018,2483472,4551143
lbj,2017,2468683,38498
dylan dog dead of night,2011,1186538,4907187
all good things,2010,582024,291593
by the sea,2015,538460,3189286
the tempest,2010,277943,0
zambezia,2012,0,34454336
survivor,2015,0,1703281
dwegons and leprechauns,2014,0,0
fight valley,2016,0,0
bird box,2018,0,0
the shape of water,2017,63859435,131931359
the shape of water,2017,63859435,131931359
the frozen ground,2013,0,5617460
the devils double,2011,1361512,4604134
bad teacher,2011,100292856,115156141
sausage party,2016,97670358,43673897
the crazies,2010,39123589,17321945
the switch,2010,27758465,22100000
leap year,2010,25918920,6700000
the book thief,2013,21488481,54598230
take me home tonight,2011,6928068,648536
wont back down,2012,5310554,434949
action point,2018,5059608,44067
neighbors,2014,150086800,120857628
my big fat greek wedding 2,2016,59689605,32406953
the perfect guy,2015,57027435,3250731
diary of a wimpy kid rodrick rules,2011,52698535,20996659
soul surfer,2011,43853424,3305228
uncle drew,2018,42469946,4057215
blue jasmine,2013,33404871,69508090
ricki and the flash,2015,26839498,14326535
love the coopers,2015,26302731,15924759
the circle,2017,20497844,20154020
127 hours,2010,18335230,41881941
norm of the north,2016,17062499,13473161
jobs,2013,16131410,27271105
and so it goes,2014,15160801,2759212
getaway,2013,10501938,1312051
maos last dancer,2010,4806750,21134687
the railway man,2014,4438438,19471772
midnight special,2016,3712282,3967968
miss sloane,2016,3500605,4219025
miss sloane,2016,3500605,4219025
phantom,2013,1034589,164921
carlos,2010,145526,1473627
i am wrath,2016,0,309608
wolves,2014,0,94953
the prince,2014,0,0
forsaken,2016,0,0
forsaken,2016,0,0
red lights,2012,49521,14469363
black nativity,2013,7018188,266947
a quiet place,2018,188024361,146497933
the best man holiday,2013,70525195,2310515
pitch perfect,2012,65001093,51043254
evil dead,2013,54239856,43538500
saw 3d,2010,45710178,88025106
mcfarland usa,2015,44480275,1227649
almost christmas,2016,42065185,428321
beastly,2011,27865571,10162659
lottery ticket,2010,24719879,0
the apparition,2012,4936819,5700462
lillusionniste,2010,2231474,6378475
genius,2016,1361045,5904238
mune le gardien de la lune,2017,0,14534046
the young messiah,2016,6469813,843884
moonrise kingdom,2012,45512466,23335980
the artist,2011,44667095,83589617
the roommate,2011,37300107,15245600
remember me,2010,19068240,37437880
left behind,2014,14019924,6749285
people like us,2012,12431792,185680
bleed for this,2016,5083906,1520020
bleed for this,2016,5083906,1520020
the homesman,2014,2429989,5787582
trance,2013,2322593,20271459
enter the void,2010,337997,1129281
vamps,2012,3361,91451
second act,2018,39282227,24006627
annabelle creation,2017,102092201,203292664
jackass presents bad grandpa,2013,102003019,58900000
the imitation game,2014,91125143,136615320
mama,2013,71628180,76467386
diary of a wimpy kid,2010,64003625,12950686
the woman in black,2012,54333290,74622608
blackkklansman,2018,49275340,43741995
snitch,2013,42930462,14977272
krampus,2015,42725475,19062918
end of watch,2012,41003371,16583235
wild,2014,37880356,14580187
the theory of everything,2014,35893537,87434155
drive,2011,35060689,46297241
the favourite,2018,34366783,59747146
when the game stands tall,2014,30127963,10949
home again,2017,27020284,10316590
ramona and beezus,2010,26167002,1302619
the november man,2014,25018119,9802216
the place beyond the pines,2013,21403519,25607930
keanu,2016,20591853,96288
country strong,2010,20218921,383066
a most wanted man,2014,17237855,18831035
the man with the iron fists,2012,15634090,6384898
killing them softly,2012,14945541,24292902
one day,2011,13843771,45324921
the founder,2017,12786053,11617139
the founder,2017,12786053,11617139
queen of katwe,2016,8874389,1181092
hotel artemis,2018,6708137,6050662
scouts guide to the zombie apocalypse,2015,3703046,11851809
you will meet a tall dark stranger,2010,3247816,31000000
rock the kasbah,2015,3020665,365488
rock the kasbah,2015,3020665,365488
never let me go,2010,2434652,8739066
the disappointments room,2016,2423467,1080294
the reluctant fundamentalist,2013,528731,0
centurion,2010,123570,7761478
winnie mandela,2013,61847,0
the son of no one,2011,30680,1117898
khumba,2013,0,20898221
in dubious battle,2017,0,214182
in dubious battle,2017,0,214182
broken horses,2015,0,3471
magic mike xxl,2015,66013057,57647540
elle sappelait sarah,2011,7691700,17788331
the possession,2012,49130588,33794476
our family wedding,2010,20255281,1155265
hot tub time machine 2,2015,12314651,511993
fun size,2012,9409538,1757077
suffragette,2015,4702420,29342489
mr turner,2014,3958546,21228480
flipped,2010,1755212,2534781
margaret,2011,47185,576107
seven psychopaths,2012,15024049,18011687
the last godfather,2011,164247,0
under the skin,2014,2614251,4615682
under the skin,2014,2614251,4615682
no good deed,2014,52543632,1779578
black swan,2010,106954678,224312032
justin bieber never say never,2011,73013910,26020215
the first purge,2018,69488745,67128560
miracles from heaven,2016,61705123,12093613
the shallows,2016,55121623,63641819
about last night,2014,48637684,1808176
st vincent,2014,44137712,10699522
earth to echo,2014,38934842,3239703
ex machina,2015,25440971,12917421
eye in the sky,2016,18704596,16698206
admission,2013,18007317,726349
the perks of being a wallflower,2012,17742948,15326355
room,2015,14677674,21585109
room,2015,14677674,21585109
woodlawn,2015,14394097,9606
woodlawn,2015,14394097,9606
chloe,2010,3075255,8755876
youth,2015,2703296,21298277
the vatican tapes,2015,1784763,13144421
attack the block,2011,1024175,5435008
the killer inside me,2010,217277,3400000
the call,2013,51872378,17949098
the drop,2014,10724389,8330145
machete,2010,26593646,19777324
conviction,2010,6797696,5029284
casino jack,2010,2039869,232317
the perfect game,2010,1089445,2841922
the paperboy,2012,677200,3350463
the fault in our stars,2014,124872350,182294484
think like a man,2012,91547205,21826559
heaven is for real,2014,91386097,9530202
act of valor,2012,70012847,12484188
chronicle,2012,64575175,59106615
project x,2012,54731865,48296323
three billboards outside ebbing missouri,2017,54513740,105678175
three billboards outside ebbing missouri,2017,54513740,105678175
lion,2016,51739495,97831225
lion,2016,51739495,97831225
overboard,2018,50316123,35053707
philomena,2013,37709979,61253413
paper towns,2015,32000304,53450180
hell or high water,2016,27007844,10576460
katy perry part of me,2012,25326071,7374368
top five,2014,25317379,684362
project almanac,2015,22348241,10561196
just wright,2010,21540363,327302
nebraska,2013,17654912,7106448
young adult,2011,16311571,6438785
about time,2013,15323921,73985257
if beale street could talk,2018,14915773,4943394
wish upon,2017,14301505,9175840
unforgettable,2017,11368012,4853199
marshall,2017,10051659,65157
marshall,2017,10051659,65157
arbitrage,2012,7919574,27911139
for greater glory the true story of cristiada,2012,5669081,4357174
la grande bellezza,2013,2883879,26665266
stoker,2013,1703125,10331788
kill the irishman,2011,1188194,0
darling companion,2012,793352,406994
trash,2015,17484,6535702
5 days of war,2011,17479,70314
10 days in a madhouse,2015,14616,0
triangle,2010,0,1594955
drive hard,2014,0,0
dancin its on,2015,0,0
carol,2015,12711491,30132030
carol,2015,12711491,30132030
dirty grandpa,2016,35593113,69485336
the fighter,2010,93617009,35645379
if i stay,2014,50474843,27881327
brooklyn,2015,38322743,23753398
woman in gold,2015,33307793,25278614
i tonya,2017,30014534,23782875
i tonya,2017,30014534,23782875
quartet,2013,18388357,37790578
inside llewyn davis,2013,13248209,19695038
peeples,2013,9177065,130101
brighton rock,2011,229653,0
lol,2012,0,10431506
misconduct,2016,0,2352511
the last days on mars,2013,24084,237280
halloween,2018,159342015,95558652
the purge election year,2016,79042440,39472287
book club,2018,68566296,22547387
insidious the last key,2018,67745330,100140258
lady bird,2017,48958273,29652496
lady bird,2017,48958273,29652496
the best exotic marigold hotel,2012,46383639,88256141
hereditary,2018,44069456,26064449
love simon,2018,40826341,24694292
jigsaw,2017,38052832,64392364
the boy,2016,35819556,32401396
everything everything,2017,34121140,27481996
devil,2010,33679655,29674459
the second best exotic marigold hotel,2015,33078266,57306040
how to be a latin lover,2017,32149404,30406824
slender man,2018,30564825,21158819
when the bough breaks,2016,29747603,1020846
sinister 2,2015,27740955,26363270
the forest,2016,26594261,14154969
the forest,2016,26594261,14154969
sparkle,2012,24397469,262854
kevin hart what now,2016,23591043,0
mud,2013,21590086,9966873
skyline,2010,21416355,46848618
the disaster artist,2017,21120616,7597051
the disaster artist,2017,21120616,7597051
blair witch,2016,20777061,18208516
blair witch,2016,20777061,18208516
paranormal activity the ghost dimension,2015,18297124,59662250
the birth of a nation,2016,15861566,1029445
the birth of a nation,2016,15861566,1029445
my week with marilyn,2011,14597405,19643167
big eyes,2014,14482031,12835841
movie 43,2013,8840453,22324294
can you ever forgive me,2018,8803865,2948522
macgruber,2010,8525600,104295
bad words,2014,7779614,63531
while were young,2015,7582065,9921763
while were young,2015,7582065,9921763
seeking a friend for the end of the world,2012,7078738,4688221
shut in,2016,6900335,4460330
cedar rapids,2011,6861102,1001029
the collection,2012,6810754,2079340
danny collins,2015,5637066,2828779
gotti,2018,4286367,1802733
denial,2016,4073448,5190492
denial,2016,4073448,5190492
the man who knew infinity,2016,3877922,8504200
max steel,2016,3818664,744416
max steel,2016,3818664,744416
atlas shrugged part ii,2012,3336053,0
rosewater,2014,3128941,56776
bucky larson born to be a star,2011,2529395,0
testament of youth,2015,1822250,4824419
free fire,2017,1799322,1994417
a better life,2011,1759252,124999
the joneses,2010,1475746,2065819
killer joe,2012,1291645,3367465
churchill,2017,1279681,6302515
50 to 1,2014,1069454,0
coriolanus,2012,749641,1429982
parkland,2013,641439,974914
welcome to the rileys,2010,152857,203062
kicks,2016,150191,0
blood done sign my name,2010,109383,0
elsa  fred,2014,67657,130244
strangerland,2015,17472,143625
barbecue,2014,388,247177
the reef,2010,0,15037867
american heist,2015,0,2341218
plastic,2014,0,575371
into the grizzly maze,2015,0,0
amour,2012,6738954,30048090
the runaways,2010,3573673,1704959
melancholia,2011,3030848,18786450
kites,2010,1685269,15469924
the purge anarchy,2014,71562550,39972331
ouija origin of evil,2016,35144505,46687361
ouija origin of evil,2016,35144505,46687361
black or white,2015,21571189,399832
black or white,2015,21571189,399832
the edge of seventeen,2016,14431633,4664370
the edge of seventeen,2016,14431633,4664370
jackie,2016,13960394,22628118
loving,2016,7710234,5187830
loving,2016,7710234,5187830
the sapphires,2013,2450867,17944173
greater,2016,2000093,0
destroyer,2018,1533324,2147772
leaves of grass,2010,70066,15461
heist,2015,50136,3273995
manchester by the sea,2016,47695371,30038496
manchester by the sea,2016,47695371,30038496
the duff,2015,34030343,9498291
nightcrawler,2014,32381218,17953200
baggage claim,2013,21569509,1316327
middle school the worst years of my life,2016,20007149,3304144
the rover,2014,1109199,2071053
easy a,2010,58401464,17799257
5050,2011,35016118,6318617
a walk in the woods,2015,29499394,7619964
that awkward moment,2014,26068955,27000000
enough said,2013,17550872,8070577
begin again,2014,16170632,52668104
prom,2011,10130219,632964
me and earl and the dying girl,2015,6758416,2507764
its kind of a funny story,2010,6363628,269322
morgan,2016,3915251,3383535
anomalisa,2015,3759286,1946882
anomalisa,2015,3759286,1946882
another year,2010,3205706,16799907
lean on pete,2018,1163056,1291971
lean on pete,2018,1163056,1291971
made in dagenham,2010,1095369,14548827
london fields,2018,252676,181056
restless,2011,163753,2608758
wild target,2010,109338,5204856
wuthering heights,2012,100915,2620619
a street cat named bob,2016,82703,17299990
a street cat named bob,2016,82703,17299990
aloft,2015,53086,184602
fireflies in the garden,2011,36884,3550307
swelter,2014,0,44197
code of honor,2016,0,0
loin des hommes,2015,5336,1075092
albert nobbs,2011,3014696,5524307
the neon demon,2016,1333124,2226679
pound of flesh,2015,0,0
the bye bye man,2017,22395806,8791921
harry brown,2010,1818681,10204925
magic mike,2012,113721571,56828182
i can only imagine,2018,83482352,2121869
jumping the broom,2011,37295394,863207
gifted,2017,24801212,12163444
dope,2015,17506470,684361
devils due,2014,15821461,20324626
beyond the lights,2014,14618727,0
beyond the lights,2014,14618727,0
get low,2010,9176933,1651372
cyrus,2010,7468936,2593960
somewhere,2010,1785645,15237476
the christmas candle,2013,1632000,301829
freeheld,2015,546201,1186027
dom hemingway,2014,523511,1333947
the extra man,2010,453377,38731
cah,2010,46488,0
criminal activities,2015,0,386744
criminal activities,2015,0,386744
house at the end of the street,2012,31611916,12492066
incendies,2010,6857096,9181247
annabelle,2014,84273813,172589107
same kind of different as me,2017,6423605,0
same kind of different as me,2017,6423605,0
shame,2011,4002293,16410548
the east,2013,2274649,753307
breaking in,2018,46840590,4571030
the possession of hannah grace,2018,14836174,27949213
the words,2012,11494838,4874870
bernie,2012,9204489,902486
bernie,2012,9204489,902486
the guard,2011,5359774,15837680
wish i was here,2014,3591299,3000066
veronica mars,2014,3322127,163256
snow flower and the secret fan,2011,1348205,10000000
mandy,2018,1214525,213131
the 5th quarter,2011,408159,0
the 5th quarter,2011,408159,0
deadfall,2012,66351,1607284
song one,2015,32251,404838
song one,2015,32251,404838
icarus,2010,0,0
the hit list,2011,0,0
valhalla rising,2010,30638,700975
standing ovation,2010,531806,0
khiladi 786,2012,385422,14298341
don jon,2013,24477704,16790875
hell fest,2018,11107431,7011800
le havre,2011,611709,12868487
salvation boulevard,2011,28468,0
grabbers,2013,0,440821
get out,2017,176040665,79327286
paranormal activity 3,2011,104028807,103011037
10 cloverfield lane,2016,72082999,36203423
lights out,2016,67268835,81537675
the visit,2015,65206105,33471711
the visit,2015,65206105,33471711
the visit,2015,65206105,33471711
happy death day,2017,55683845,69326415
paranormal activity 4,2012,53900335,88917657
ouija,2014,50856010,52444622
no se aceptan devoluciones,2013,44467206,56019410
the gift,2015,43787265,15191212
the gift,2015,43787265,15191212
the big sick,2017,42872467,11100393
paranormal activity the marked ones,2014,32462372,58442482
oculus,2014,27695246,16420250
dallas buyers club,2013,27298285,33313560
dallas buyers club,2013,27298285,33313560
no escape,2015,27288872,15555644
the lazarus effect,2015,25801570,12557740
our idiot brother,2011,24814830,1046419
the strangers prey at night,2018,24431472,5528579
the way way back,2013,21502690,5351120
as above so below,2014,21222315,20601751
race,2016,19115191,4630581
apollo 18,2011,17686929,8830890
paul apostle of christ,2018,17547999,7981499
addicted,2014,17390770,108472
spring breakers,2013,14124286,17024965
it comes at night,2017,13985117,5735086
before i fall,2017,12241072,6704610
fifty shades of black,2016,11686940,10426135
the perfect match,2016,9669521,512529
fahrenheit 119,2018,6352306,301409
sea rex 3d journey to a prehistoric world,2010,6096582,10418621
90 minutes in heaven,2015,4816142,0
incarnate,2016,4799774,4571262
table 19,2017,3614896,1005503
green room,2016,3220371,587132
green room,2016,3220371,587132
thoroughbreds,2018,3072605,114697
thoroughbreds,2018,3072605,114697
the other side of the door,2016,3000342,9904765
everything must go,2011,2712131,108879
kill the messenger,2014,2450846,4205859
rabbit hole,2010,2229058,3975976
jem and the holograms,2015,2184640,184297
jem and the holograms,2015,2184640,184297
paterson,2016,2141423,8586113
paterson,2016,2141423,8586113
aint them bodies saints,2013,391611,683398
cop car,2015,134552,9106
rudderless,2014,56001,511218
area 51,2015,7556,0
dying of the light,2014,0,74639
yoga hosers,2016,0,22958
reach me,2014,0,0
henry  me,2014,0,0
we have your husband,2011,0,0
only god forgives,2013,775849,3718711
take shelter,2011,1728953,3243063
without men,2011,0,0
treading water,2015,0,0
the lobster,2016,9196278,8823556
the lobster,2016,9196278,8823556
blackthorn,2011,200558,1016749
maggie,2015,187112,840648
the sweeney,2013,26345,7974021
falcon rising,2014,11774,0
zipper,2015,0,0
the final girls,2015,0,0
rl stines monsterville the cabinet of souls,2015,0,0
snabba cash,2012,188870,10023533
animal kingdom,2010,1044039,7034644
cargo,2011,0,313230
the boy next door,2015,36006065,17395873
boyhood,2014,25379975,31893074
the kids are all right,2010,20811365,15464104
a haunted house 2,2014,17329487,3877374
the last exorcism part ii,2013,15179303,10269404
the darkness,2016,10753574,144719
samsara,2012,2672413,3294258
the art of getting by,2011,1430241,558794
red state,2011,1065429,918167
holy motors,2012,641054,3589372
the signal,2014,600896,2064426
the face of love,2014,385069,773808
joe,2014,373375,0
desert dancer,2015,155271,441064
manglehorn,2015,132270,665169
trust,2011,120016,0
praia do futuro,2015,20620,740058
13 sins,2014,9134,38418
another happy day,2011,9120,969407
inescapable,2013,4327,0
how to fall in love,2012,0,0
chain of command,2015,0,0
the good heart,2010,20930,320000
hevi reissu,2018,10153,0
four lions,2010,310007,2126104
defendor,2010,44462,0
truth or dare,2018,41411015,53716329
the witch,2016,25138705,15315815
the witch,2016,25138705,15315815
winchester,2018,25091816,19286224
dark skies,2013,17418667,10285444
forever my girl,2018,16376066,0
el secreto de sus ojos,2010,6391436,34136283
first reformed,2018,3448256,426516
believe,2016,890303,0
american honey,2016,663247,1948503
the bronze,2016,615816,0
the bronze,2016,615816,0
trolljegeren,2011,253444,5453194
the masked saint,2016,182695,0
batman the dark knight returns part 2,2013,0,0
in the name of the king iii,2014,0,0
wicked blood,2014,0,0
dawn patrol,2015,0,0
jagten,2013,687185,17622608
margin call,2011,5353586,15079641
whiplash,2014,13092006,25877031
sorry to bother you,2018,17493096,792464
beginners,2011,5790894,8523513
the meddler,2016,4267219,1259723
antiviral,2013,0,123407
paranormal activity 2,2010,84752907,92759125
war room,2015,67790117,6185122
the purge,2013,64473115,26793466
sinister,2012,48086903,39640904
upgrade,2018,11977130,4576155
before midnight,2013,8110621,15141309
let there be light,2017,7233471,7838
let there be light,2017,7233471,7838
swiss army man,2016,4210454,1626657
frances ha,2013,4067398,7195371
frances ha,2013,4067398,7195371
please give,2010,4033574,536604
compadres,2016,3127773,4317271
letters to god,2010,2848587,388865
tusk,2014,1821983,65571
the wall,2017,1803064,2692198
damsels in distress,2012,1007535,316764
hobo with a shotgun,2011,703372,131581
the d train,2015,669688,102678
bachelorette,2012,446770,12130631
creature,2011,331000,0
the bounce back,2016,321910,99494
chain letter,2010,205842,816611
tim and erics billion dollar movie,2012,201436,22216
fort mccoy,2014,78948,0
before we go,2015,37151,446787
tanner hall,2011,5073,0
they came together,2014,0,82780
open road,2013,0,47469
barry munday,2010,0,0
never back down 2 the beatdown,2011,0,0
awol72,2015,0,0
amnesiac,2015,0,0
unnatural,2015,0,0
close range,2015,0,0
freakonomics,2010,101270,71597
griff the invisible,2011,20778,5157
indivisible,2018,3511417,76888
ida,2014,3827060,11471295
a haunted house,2013,40041683,19880875
kevin hart let me explain,2013,32244051,83204
the spectacular now,2013,6852971,63980
hunt for the wilderpeople,2016,5205471,18640062
robot  frank,2012,3317468,1616888
the lost medallion the adventures of billy stone,2013,549632,0
super,2011,327716,266217
8 the mormon proposition,2010,100280,0
underdogs,2013,35017,1357632
christmas mail,2010,0,0
stung,2015,0,0
antibirth,2016,0,0
do you believe,2015,12985600,1319331
frontera,2014,59696,0
redemption road,2011,29384,0
infected,2012,0,0
lies in plain sight,2010,0,0
courageous,2011,34522221,663663
it follows,2015,14674077,8576678
it follows,2015,14674077,8576678
eighth grade,2018,13539710,801306
hardcore henry,2016,9252038,7935396
winters bone,2010,6531503,9600048
the florida project,2017,5904366,5390958
all saints,2017,5802208,139786
inside job,2010,4311834,3487423
we are your friends,2015,3591417,6561998
captive,2015,2583301,208672
hearts beat loud,2018,2386254,34708
the resurrection of gavin stone,2017,2303792,0
the diary of a teenage girl,2015,1477002,802957
locke,2014,1370646,717744
the babadook,2014,950792,6531595
the virginity hit,2010,636706,0
the last five years,2015,147299,57999
lost river,2015,45431,1964213
knock knock,2015,36336,6292180
the first time,2012,17061,0
circle,2010,10024,0
plush,2013,3080,25784
grave encounters,2011,0,2151887
bone tomahawk,2015,0,475846
straight as,2013,0,0
highway,2012,0,0
coffee town,2013,0,0
lucky dog,2014,0,0
the curse of downers grove,2015,0,0
wind walkers,2015,0,0
the dog lover,2016,0,0
shark lake,2015,0,0
buried,2010,1044143,20226147
nowhere boy,2010,1445366,6339863
brotherly love,2015,478595,0
submarine,2011,467602,4114335
stranded,2013,0,285593
the last exorcism,2010,41034350,29131550
beasts of the southern wild,2012,12795746,10469386
higher ground,2011,841056,1637
dysfunctional friends,2012,0,0
independence daysaster,2013,0,0
against the wild,2014,0,0
i spit on your grave,2010,93051,1185420
the lunchbox,2014,4231500,8000000
grace unplugged,2013,2507159,0
saul fia,2015,1777043,7919494
nsecure,2010,2595644,0
two night stand,2014,15600,852481
insidious,2011,54009150,45861736
moonlight,2016,27854931,37390581
moonlight,2016,27854931,37390581
unsane,2018,7690044,6554887
the to do list,2013,3491669,637159
the gatekeepers,2013,2408553,183755
the lords of salem,2013,1165881,375250
31,2016,779820,142907
amigo,2011,184705,0
the disappearance of alice creed,2010,166980,1438159
the square,2013,124244,52018
road hard,2015,113169,0
housebound,2014,0,236863
teefa in trouble,2018,0,98806
the lion of judah,2011,0,0
horror,2015,0,0
checkmate,2015,0,0
mustang,2015,845464,4707120
la chambre bleue,2014,260441,1684979
eddie the sleepwalking cannibal,2013,1632,0
my girlfriends boyfriend,2010,0,0
house at the end of the drive,2014,0,0
above and beyond,2015,288751,0
the algerian,2015,0,0
dear white people,2014,4404154,999617
filly brown,2013,2850357,90054
home run,2013,2859955,0
blue like jazz,2012,595018,0
que horas ela volta,2015,376976,2872065
pink ribbons inc,2012,26608,0
crowsnest,2012,0,0
serbuan maut,2012,4105123,5192284
the sleepwalker,2014,2636,0
the dead undead,2010,0,0
the vatican exorcisms,2013,0,0
the devil inside,2012,53262945,48496545
unfriended,2015,32789645,31574553
youre next,2013,18494006,8393171
chernobyl diaries,2012,18119640,24292081
blue valentine,2010,9737892,6828348
blue valentine,2010,9737892,6828348
unfriended dark web,2018,8866745,7567843
i am not your negro,2017,7123919,2493483
the sessions,2012,6002451,5492753
the skeleton twins,2014,5284309,512883
obvious child,2014,3122616,201454
martha marcy may marlene,2011,2981038,2457873
patti cake,2017,800148,670942
palo alto,2014,767732,388577
palo alto,2014,767732,388577
the future,2011,568662,670512
23 blast,2014,549185,0
i origins,2014,336472,515927
hardflip,2012,96734,0
creative control,2016,63014,0
creative control,2016,63014,0
camp xray,2014,9837,91216
the sisterhood of night,2015,6870,0
the sisterhood of night,2015,6870,0
childless,2015,1036,0
heli,2013,0,552614
american hero,2015,0,26
snow white a deadly summer,2012,0,0
doc hollidays revenge,2014,0,0
hush,2016,0,0
chemical cut,2016,0,0
lowriders,2017,6179955,8466
lowriders,2017,6179955,8466
fruitvale station,2013,16098998,1450647
meet the blacks,2016,9097072,0
circumstance,2011,454121,504857
the giant mechanical man,2012,7396,0
the brass teapot,2013,6997,406736
windsor drive,2015,3256,0
not cool,2014,35688,0
kill list,2012,29063,433143
kevin hart laugh at my pain,2011,7706436,6000
safety not guaranteed,2012,4010957,411361
all the boys love mandy lane,2013,0,1960521
adulterers,2016,0,0
columbus,2017,1017107,93404
walter,2015,0,0
escape from tomorrow,2013,171962,0
after,2012,0,0
treachery,2013,0,0
water  power,2014,42557,0
drunk wedding,2015,3301,0
the maids room,2014,0,0
the maids room,2014,0,0
high road,2012,0,0
drinking buddies,2013,343706,63394
monsters,2010,237301,5402429
o menino e o mundo,2015,129479,151488
born to fly elizabeth streb vs gravity,2014,1822,0
higher power,2018,528,0
drones,2010,0,0
girls gone dead,2012,0,0
subconscious,2015,0,0
as it is in heaven,2014,13486,0
blue ruin,2014,258384,178618
blue ruin,2014,258384,178618
i want your money,2010,433588,0
rotor dr1,2015,0,0
locker 13,2014,3496,0
the looking glass,2015,1711,0
some guy who kills people,2012,0,0
teeth and blood,2015,0,0
andersons cross,2010,0,0
compliance,2012,319285,511415
sleight,2017,3930990,3460
sleight,2017,3930990,3460
like crazy,2011,3395391,333009
the canyons,2013,59671,2704
test,2014,18823,0
rust,2010,0,0
the christmas bunny,2010,0,0
the frozen,2012,0,0
butterfly,2010,0,0
rock the house,2011,0,0
burn,2012,1109276,0
the grace card,2011,2430735,0
the overnight,2015,1109808,56188
middle of nowhere,2012,236806,0
h,2014,0,0
weekend,2011,484592,1092993
arrowhead,2017,0,0
arrowhead,2017,0,0
another earth,2011,1321194,781585
sparrows dance,2013,2602,0
sparrows dance,2013,2602,0
the fits,2016,166425,2817
speak no evil,2013,0,32927
aroused,2013,0,0
your sisters sister,2012,1597486,1493107
the gallows,2015,22764410,18892064
a ghost story,2017,1594798,1174984
indie game the movie,2012,0,0
the night visitor,2015,0,0
queen crab,2015,0,0
happy christmas,2014,30312,0
absentia,2011,0,8555
hayride,2012,0,0
the dirties,2013,0,0
tiny furniture,2010,391674,32475
counting,2015,8374,0
down and dangerous,2014,0,0
run hide die,2015,0,0
a true story,2013,0,0
this is martin bonner,2013,0,0
raymond did it,2011,3632,0
foreign letters,2012,0,0
her cry la llorona investigation,2013,0,0
krisha,2016,144822,0
krisha,2016,144822,0
exeter,2015,0,489792
all superheroes must die,2013,0,0
